[2025-06-09 22:10:50,700] [INFO] Appended 227 name: Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g
[2025-06-09 22:10:50,717] [INFO] Appended 228 name: Điện thoại Benco 4G G3, url: https://www.thegioididong.com/dtdd/benco-4g-g3
[2025-06-09 22:10:50,733] [INFO] Appended 229 name: Điện thoại Nokia 110 4G Pro, url: https://www.thegioididong.com/dtdd/nokia-110-4g-pro
[2025-06-09 22:10:50,765] [INFO] Appended 230 name: Điện thoại Xiaomi Redmi Note 14 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-5g
[2025-06-09 22:10:50,783] [INFO] Appended 231 name: Điện thoại HONOR X7c 8GB/256GB, url: https://www.thegioididong.com/dtdd/honor-x7c
[2025-06-09 22:10:50,800] [INFO] Appended 232 name: Điện thoại Samsung Galaxy M35 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-m35-5g
[2025-06-09 22:10:50,818] [INFO] Appended 233 name: Điện thoại Nokia 3210 4G, url: https://www.thegioididong.com/dtdd/nokia-3210-4g
[2025-06-09 22:10:50,836] [INFO] Appended 234 name: Điện thoại vivo Y03 4GB/128GB, url: https://www.thegioididong.com/dtdd/vivo-y03
[2025-06-09 22:10:50,864] [INFO] Appended 237 name: Điện thoại vivo V40 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/vivo-v40-5g
[2025-06-09 22:10:50,879] [INFO] Appended 238 name: Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus
[2025-06-09 22:10:50,912] [INFO] Appended 241 name: Điện thoại OPPO Reno12 5G 12GB/512GB, url: https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-512gb
[2025-06-09 22:10:50,929] [INFO] Appended 242 name: Điện thoại Samsung Galaxy A16 8GB/128GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb
[2025-06-09 22:10:50,968] [INFO] Appended 246 name: Điện thoại Tecno Spark 30C 6GB/128GB, url: https://www.thegioididong.com/dtdd/tecno-spark-30c
[2025-06-09 22:10:50,986] [INFO] Appended 247 name: Điện thoại Mobell F209, url: https://www.thegioididong.com/dtdd/mobell-f209
[2025-06-09 22:10:51,014] [INFO] Appended 248 name: Điện thoại Mobell F209, url: https://www.thegioididong.com/dtdd/mobell-f209
[2025-06-09 22:10:51,034] [INFO] Appended 249 name: Điện thoại vivo Y28 8GB/128GB, url: https://www.thegioididong.com/dtdd/vivo-y28
[2025-06-09 22:10:51,066] [INFO] Appended 252 name: Điện thoại OPPO A58 8GB/128GB, url: https://www.thegioididong.com/dtdd/oppo-a58-4g
[2025-06-09 22:10:51,082] [INFO] Appended 253 name: Điện thoại vivo Y100 8GB/256GB, url: https://www.thegioididong.com/dtdd/vivo-y100
[2025-06-09 22:10:51,112] [INFO] Appended 256 name: Điện thoại OPPO A5x 4GB/64GB, url: https://www.thegioididong.com/dtdd/oppo-a5x-4gb-64gb
[2025-06-09 22:10:51,138] [INFO] Appended 259 name: Điện thoại vivo Y18 4GB/128GB, url: https://www.thegioididong.com/dtdd/vivo-y18-4gb-128gb?utm_flashsale=1
[2025-06-09 22:10:51,168] [INFO] Appended 262 name: Điện thoại Masstel Fami 60S 4G, url: https://www.thegioididong.com/dtdd/masstel-fami-60s
[2025-06-09 22:10:51,185] [INFO] Appended 263 name: Điện thoại TCL 406s 4GB/64GB, url: https://www.thegioididong.com/dtdd/tcl-406s
[2025-06-09 22:10:51,201] [INFO] Appended 264 name: Điện thoại realme C65s 8GB/128GB, url: https://www.thegioididong.com/dtdd/realme-c65s-8gb-128gb
